questions,answers
asking control measure aphid infestation mustard crop,suggested him to spray rogor@2ml/lit.at evening time.
asking control measure flower drop problem coconut plant,"suggested him to apply fertilizer in recommended dose like urea-600gm,ssp-1kg,mop-700gm,borax-25gm twice in a year(march/april and september/october)followed by trench method and also suggested him to spray planofix@1teaspoonful per20-25 liter of water."
asking avail kisan credit card loan sali crop,"suggested to consult with officer-marketing and recovery (rural),sbi local branch for details."
asking source early ahu rice variety,"suggested to take early ahu rice variety from atic,jorhat,aau campus through parcel or direct taking."
asking got proper friut coconut plant,"suggested him to aplly recommended fertilizer dose-urea@1.5 kg,ssp@2.5kg,mop@1.75 kg,borax@25 gm./plant/year in trench method."
asking induced breeding fish,given details about induced breeding of fishes.
asking training preparation biomanure,"suggested to approach district agricultural officer  or atic,jorhat,ph (0376)2310240"
asking treatment low production milk cow,"suggested to provide mineral mixture like ranmix total, milkmin, gwala etc at recommanded dose along with feed.also, suggested to feed high protienous green fodder like cowpea, berseem, lucern etc."
asking premature fruit dropping coconut,suggested to apply bordeaux mixture. apply borax @ 50 gm/plant per year along with urea & ssp.
asking preservative tomato squash,suggested  preservatives  are: 1. benjoic acid &  2.  sulphar  dioxide . these chemicals re used to preserve for severel weeks.
asking pre emergence weedicide rice,suggested herbicide- butachlor ( machete ) which is a  pre-emergence weedicide.
asking control measure damping infestation biter gourd crop,suggested to apply dithane m- 45 @ 2-3ml/litre of water and also to check irrigation water supply in the field.
asking culture chitala along carp,"suggested that he should go for the single species culture in one pond or he can culture some other species along with chitala, but in the second case, size of other species should be larger than chitala ."
asking suitable variety transplanted early ahu crop,"suggested suitable early ahu varieties are as saket-4, ir-50, govind, ir-36, cauvery, krishna, jaya, ir-8, luit, kopilee."
asking fym compost requirement blackgram cropsbigha,"suggested fym or compost requirement for blackgram crops as 6 quintql/bigha, this not only adds fertility but also improves soil structures."
asking availibility quail bird commercial purpose,"suggested to contact with  central agricultural university , mizoram for availibility of quail  birds"
asking control measure taken bacterial wilt brinjal crop,suggested to apply 100 ppm agromycine or streptomycine twice in a week and also to avoid water stagnation in the field.
asking ngo watershed project,suggested to contact deshbandhu club which is situated in cachar district
asking take control measure flower fruit dropping aonla fruit tree,suggested to either spray planofix @ 1ml/4litre of water or apply borax @ 200 g/plant at the base of the tree by making ring .
asking chemical seed treatment maize done seed borne disease attack,suggested that the seeds of maize should be treated with  bavistin @ 2 g/ kg of seeds or captaf @ 2- 2.5 g /kg of seeds before or after sowing.
asking precautionary measure preventing disease fish,suggested to apply lime @ 1000 kg/ hac/yr. one third of the required dose is to be applied  at the time of pond preparation & the remaining portion is to be applied in equal monthly installment. he is also suggested to maintain the water quality properly.
asking remedial measure fruit droping problem chayote crop,suggested him to apply cow dung manure @7kg/plant at the base of the plant and spray planofix @2ml/litre of water at 15 days interval.
asking sowing season pumkin crop,suggested him that pumkin can be grown in two season i.e january to april for summer hervest and september to november for spring hervest.
asking remedial measure cutworm infestation bittergourd crop,suggested him to apply malathion 5%dust @2 g/plant in case of soil application.also suggested him to keep the crops field weeds free to further arrest the pest infestation.
asking fertilizer dose coconut 7 year old,"suggested to apply 1500 g urea, 2500 g ssp and 1750 g mop per plant along with  50 g borax."
asked koleroga disease arecanut,suggested to apply bordeaux mixture
asked control papaya leaf curl,suggested to apply rogor@1 ml/litre of water
asking fertilizer dose spacing papaya,"suggested to apply 250 gm urea ,700 gm ssp and 200 gm mop and 5 kg fym.spacing 2mt*2mt."
asking fertiliser dose method application bottle gourd land 1 bigha,"suggested to apply 8 kg of urea,46 kg of single super,24 kg of potash along with 300 kg of fym as basal dressing for a land of 1 bigha. 4 kg 0f urea to be top dressed at flowering stage and again 4 kg 0f urea to be top dressed at fruit set."
asked control beetle ridge gourd,suggested to apply malathion 50 ec @1 ml/2.5 litres water + molasses @10 gm /litre water
asked control khaira disease rice,suggested to apply znso4 (5 kg) and lime (2.5 kg) in 1000 litres water after 10 days of sowing
asking age castration goat,suggested to castrat within 1-1and 1/2 months.
asking early variety cauliflower,"early kuwari,pusa deepali"
asked fertilizer dose sali rice semi dwarf var,suggested to apply 6kg urea 18 kg ssp and 4kg mop during final land preparation and 6 kg urea during flower initiation
asking treatment caugh goat,suggested to adminster cflon powder @20gm thrice daily by mixing with gur.
asked suitable variety brinjal assam condition,"suggested to use following varieties, pusa purple kranti, pusa purple long, pusa purple cluster, borbengena etc"
asking package practice brinjal,explained about the package of practices for brinjal.
asking control measure fruit rot coconut,suggested mr.majumder to apply bordeaux mixture @ 1% i.e 10ltrs. in trench system around the plant to get rid off this disease.
asking post flood variety paddy,suggested to collect luit or kapili variety of paddy.
asking kisan credit card,explained details about kisan credit card and suggested him to approach nearest nationalised bank.
asked te controlmeasure cutworm bottle gourd,suggested to incorporate malathion 5% dust in the soil around the plant
asking remedial measure browning leaf tip cucumber crop,suggested him to broadcast urea fertilizer@ 15 kg/bigha followed with light watering and loosening oe soil.
asking cultivation practice potato,explained in details about the cultivation practice of potato.
asking control measure control measure downy mildew pumkin,suggested to apply indofil m 45 @ 2gms/liter at 12 days interval as folliar spray.
asking treatment bloatin cow,suggested to administer rumen bolus @2bolustwice daily for 3days.
asked cultivation practice bitter gourd,"answered in detail about varieties,seed rate, fertilizer dose etc"
asking fungal disease pineapple,spray mancozeb@2gm/lt of water
asking fertiser dose french bean,"suggested mr.hajam to apply 8kg of urea,33kg of ssp,14kg of mop along with 300kg of fym.this fertiliser dose suggested is for 1 bigha of land."
asking control measure bacterial wilt potato,"suggested mr.koiri to drench the soil at the base of the plant with 100ppm of streptomycin. also suggested to apply a mixture of 1 gram asafoetida along with 5 gram of turmeric powder in 10 litres of water and to drench the soil 3 times at an interval of 15,30 and 45 days after transplanting."
asking procedure seed treatment potato,"suggested mr.koiri to cut into pieces longitudinally,the bigger sized tubers having 2-3 eyes in each piece and then to dip the cut pieces in mancozeb @ 5 gram in 1 litre of water for about 10 mins. after that ,the seeds are to be spread thinly and dried under shade for 48 hours or should be covered with moist gunny bags for 2-3 days for suberization."
asking variety name potato,"suggested in details regarding variety like-khufri jyoti,khufri sindhuri,khufri megha"
asking seed treatment potato,suggested to treat the seeds in a 0.1% captaf for 24 hrs. and dry the srreds in shade.
asking treatment diarrhoea cow,suggested to administer neblon powder @50gm twice daily for 5days.
asking get crop loan bank,suggested to contact with any nationalized bank and marketing and recovery officer located in his area
asking recommended fertilizer dose cabbage cultivation,"suggested to apply urea@25kg/bigha,ssp@41kg/bigha,mop@13kg/bigha and fym@2 quintle/bigha"
asking recommended fertilizer dose cabbagebigha,"suggested to apply urea@25kg/bigha,ssp@41kg/bigha,mop@13kg/bigha and fym@2 quintle/bigha"
asking control measure control late blight disease infestation potato,suggested to apply dithane m-45@2gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval for 3-4 times
asking good variety boro rice along time planting best suited zone,"suggested the following: boro-1,boro-2,culture-1,krishna,ir-50,cauvery,banglami,bishnuprasad and jyotiprasad. these suggested varieties are best suited for his barak valley zone from where he belongs and all these varieties can be planted in december/january."
asking control measure late blight potato,suggested to apply indofil m-45@2.5ml/lit of water or ridomil mz-72@2ml/lit of water.
asking fertilizer dose cauliflower,"advised to apply recommended fertilizer dose like:urea@23 kilogram/bigha,ssp@50kilogram/bigha,mop@11 kilogram/bigha,compost@2 quintle/bigha,and borax@25 gram"
asking preventive measure late blight disease potato,advised to spray indofil m 45  @ 2.5 gram per lire of water at an interval of 7 days to get rid off this disease.
asking control measure rotting becaouse excess irrigation,suggested to apply blitox @ 2gm per lit of water followed by a spray of borax and molibdenum
asking control measure control late blight disease potato,advised  to apply dithane m-45@2.5 gram/litre of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval.
asking control measure leaf blight coconut tree affecting 5 number coconut tree,suggested to spray bordeaux mixture @ 1% per plant and to remove the old and affected leaves.
asking recommended planting material tea,"advised to plant recommended planting materials like:(a)clone-tv1,tv18,tv20,tv21,tv22,tv23,tv24,pl26a and (b)seed-ts450,ts462,ts464,betajan jat."
asking control measure bacterial wilt potato cultivation,"suggested to apply streptomycin @ 1 gram per litre of water and to drench the soil around the plant with 1 gram of asafoetida along with 5 gram of turmeric powder by mixing in 10 litres of water.also advised that whenever he goes for his next cultivation of potato, to apply 12 gram of bleaching powder per hectare during final land preparation."
asking control measure control late blight disease infestation potato cultivation,suggested to apply dithane m-45@2.5 gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval
asking treatment babesiosis cow,"suggested to administer berenil inj @1.6gram per 100kg body weight in 5ml distilled water  per 0.8gram of granule,by deep intramuscular route.repeat the dose after 1week."
asking method ripen tomato fruit normal harvest,suggested to spray ethrel@500 ppm on the fruit about one month before normal harvest
asking control measure aphid epilachna beetle destroying potato cultivation,suggested to apply malathion 50 ec @ 1.5 litre in 500-600 litres of water to get control on these types of pests.
asking fertilizer dose beeter gourd,"suggested to apply 11 kg urea, 29 kg ssp, 3kg mop and 2 quintol compost. urea is suggested to apply in 3 splt doses: one at the time of land preperation, 2nd in 30 days and the rest in 60 days."
asking recommended fertilizer dose wheat,"suggested that the recommended fertilizer dose for wheat is-urea@12kilogram/bigha,ssp@18kilogram/bigha,mop@4kilogram/bigha."
asking control measure control fruit rot disease chilli,suggested to apply bavistin@2gram/liter of water at 7-10 days interval.
asking control measure control fruit borer infestation mango fruit,suggested to spray dimecron 100 ec@2ml/liter of water followed by waiting period of 10-12 days.
asking recommended fertilizer dose bitter gourd,"suggested to apply urea@11kilogram/bigha,ssp@29 kilogram/bigha,mop@3 kilogram/bigha and fym@2 quintal/bigha."
asking control measure late blight potato,suggested to spray indofil m 45 @ 2.5 gram per litre of water and ridomil mz 72 @ 2 gram per litre of water alternatively at an interval of 10-12 days. also suggested that while spraying care should be taken so that the lower part of the leaves  also gets wettened.
asking control measure control fruit drop problem coconut,"suggested to apply recommended fertilizer dose like-urea@1,5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant.fertilizer should be applied in two equal split doses twice in a year in trench method."
asking control measure control wilting problem tomato,suggested to applly agromycin@200 milligram/liter of water or  spray solution of 1gram asafoetida + 5 gram turmeric mixture/10 liters of water.
asking control measure control fruit drop problem coconut,"suggested to apply recommended fertilizer dose like-urea@1.5 kilogram/plant,ssp@2.5 kilogram/plant,mop@1.75 kilogram/plant,borax@25 gram/plant and also to apply planofix@1tsf/20 liters of water.fertilizer should be apply in two equal split doses twice in a year to a trench of 30 cm width and 10 cm depth at a radius of 1-1.75m away from the main trunk."
asking seed ratebigha cucumber,suggested that seed rate of cucumber/bigha is 330 gram.
asking market pricequintal tomato district,suggested that the market price for tomato up to 29/01/10 is-600rs/quintal(min) and 800 rs/quintal(max).
asking control measure control late blight disease infestation potato,suggested to apply dithane m-45@2.5 gram/liter of water alternating with ridomil mz-72@2gram/liter of water at 7-10 days interval.
asking control measure control bacterial wilt disease tomato,suggested to apply streptomycin sulphate@200mg/liter of water.
asking control measure black spot disease cabbage,suggested to spray streptomycin @ 2 gram per litre of water to get control on this disease.
asking measurement required preparation vermicompost tank,"suggested that tanks with dimension of 1.5 meter width,4.5 meter length and 0.9 meter height is preferred."
asking treatment white diarrhoea poultry,suggested him to separate the diseased bird.suggested him to administer tetracycline powder @5gm with 5ltr of water with feed 2 times in a day.
asking control measure control fruit borer pest infestation tomato,"suggested to spray  neem based pesticide like-neem gold,achok@1.5 ml/liter of water."
asking treatment diarrhoea cow,suggested to administer neblon powder @ 50 gm twice daily for five days.along with that administer steclin bolus @ 2 bolus twice daily for five days.
asking treatment wound cow,suggested to clean the wound with betadine and then spray skin heal spray on the affected area twice daily.
asking information central institute post harvest engineering technology ludhiana punjab,"answered that dr. r.t.patil is the director of ciphet, ludiana, punjab and the institute has divisons of agriculture structures and environmental control, food grains and oil seeds processing,transfer of technology and horticulture crop processing. the contact numbers provided are :0161-2308669 & 2307196 along with 09216338421. also advised mr. singha to search google for other informations in details."
asking treatment white diarrhoea poultry,suggested him to administer hostacycline powder @5gm in 5 ltr of water.
asking treatment bloat goat,suggested him to administer afanil 100ml@50ml orally and rest b50ml after 6hours.along with that administer steclin 500mg bolus @1/2 bolus twice daily.administer bovirum bolus @1/2 bolus twice daily.
asking preventive measure fruit borer mango,"suggested to follow clean cultivation, brush the trunk with lime, spray the field with .1% malathion 35ec."
asking control measure control fruit rot disease chiili,suggested to apply dithane m-45@2.5 gram/liter of water.
